"nav-link","listing-location","currency","price","bed","bath","listing-floorarea","hidden-sm","listing-floorarea 2","hidden-sm href 2","hidden-sm 2"
"Metland Menteng","Jalan. Hamengkubuwono IX Ujung Menteng, Cakung, Jakarta Timur, DKI Jakarta","Rp","1,6 M","3","2","69 m²","Hubungi","","",""
"SYNTHESIS HUIS","8A Jl. Pedati Selatan, Pasar Rebo, Jakarta Timur, DKI Jakarta","Rp","1,7 M - Rp 1,9 M","2","2","73 m²","Hubungi","","",""
"Griya Seroja Pesanggrahan","35 Jl. Seroja, Bintaro, Jakarta Selatan, DKI Jakarta","Rp","1 M","4","4","60 m²","Hubungi","","",""
"Cluster Daun Pisangan Baru","Jl Pisangan Baru Utara Kel Pisangan, Matraman, Jatinegara, Jakarta Timur, DKI Jakarta","Rp","790 jt","2","2","60 m²","Hubungi","Rp 21.351.351 per m²","",""
"DI JUAL Rumah Villa Hijau - Pondok Indah","Pondok Indah, Jakarta Selatan, DKI Jakarta","Rp","12 M","6","5","400 m²","Hubungi","Rp 39.087.948 per m²","",""
"Rumah Brand New 2lt opsi Attic type 3KT Cluster Yarra Seine Essence JGC Jakarta Garden City","jakarta garden city, Kelapa Gading, Jakarta Utara, DKI Jakarta","Rp","1,55 M","3","3","74 m²","Hubungi","Rp 23.484.848 per m²","",""
"Jual Rumah Minimalis Siap Huni Strategis Dekat Duren Sawit Harga All In Siap KPR","Jatinegara Indah, Duren Sawit, Jakarta Timur, DKI Jakarta","Rp","2,52 M","3","3","115 m²","Hubungi","Rp 14.000.000 per m²","",""
"Rumah di Buaran Duren Sawit","Jl. Raya Buaran, Buaran, Jakarta Timur, DKI Jakarta","Rp","2,3 M","4","3","108 m²","Hubungi","Rp 25.555.556 per m²","",""
"Cipinang kebembem","Jalan Cipinang kebembem, Cipinang, Jakarta Timur, DKI Jakarta","Rp","1,0371 M","2","2","71 m²","Hubungi","Rp 28.808.333 per m²","",""
"Townhouse Kranggan Indah","Jl. Pertamina B No.133 Kranggan Raya, Cibubur, Cibubur, Jakarta Timur, DKI Jakarta","Rp","1,25 M","3","4","103 m²","Hubungi","Rp 12.886.598 per m²","",""
"Puri Gardenia",". Jl. Peta Barat, Kali Deres, Jakarta, Kali Deres, Jakarta Barat, DKI Jakarta","Rp","3 M","3","3","350 m²","Hubungi","Rp 12.145.749 per m²","",""
"ANA*GREAT-DEAL! ! - Di KAV. POLRI* - RUMAH BARU FURNISH, INTERIOR MEWAH DESIGN MODERN, 3. 5LANTAI HADAP","Jelambar - W A - 0 8 5 2 1 5 0 5 1 1 2 2 - *ANA*., Jelambar, Jakarta Barat, DKI Jakarta","Rp","3,98 M","5","5","208 m²","Hubungi","Rp 46.279.070 per m²","",""
"Grisenda Puri Grisenda","Jl Kapuk Kamal Raya, Kali Deres, Jakarta Barat, DKI Jakarta","Rp","3 M","4","3","190 m²","Hubungi","Rp 40.000.000 per m²","",""
"Brand New Rumah Pantai Indah kapuk","Elang laut, Pantai Indah Kapuk, Jakarta Utara, DKI Jakarta","Rp","14 M","4","6","350 m²","Hubungi","Rp 46.666.667 per m²","",""
"HOT DEAL! ! CLUSTER MEWAH TYPE 2 LANTAI STRATEGIS FREE BIAYA BIAYA","Cibubur, Jakarta Timur, DKI Jakarta","Rp","700 jt","3","2","60 m²","Hubungi","Rp 13.725.490 per m²","",""
"rumah ada kolam renang jual cepat kafi terrace jagakarsa jakarta selatan","kafi terrace jagakarsa jakarta selatan, Jagakarsa, Jakarta Selatan, DKI Jakarta","Rp","5,9 M","4","3","168 m²","Hubungi","Rp 29.500.000 per m²","",""
"dijual rumah siap huni nyaman asri di cluster royal residence pulo gebang cakung jakarta","royal residence pulo gebang cakung jakarta timur, Cakung, Jakarta Timur, DKI Jakarta","Rp","3,9 M","5","6","326 m²","Hubungi","Rp 13.494.810 per m²","",""
"Dijual Rumah Mewah, Mezzanine, Cantik Harga 1Man","Jalan Gongseng, Pasar Rebo, Jakarta Timur, Pasar Rebo, Jakarta Timur, DKI Jakarta","Rp","1,35 M","4","2","95 m²","Hubungi","Rp 18.750.000 per m²","",""
"Strategis utk Usaha","Jl.Mesjid Alwustho No.5, Pondok Kelapa, Jakarta Timur, DKI Jakarta","Rp","4 M","9","5","300 m²","Hubungi","Rp 20.000.000 per m²","",""
"Wisteria Metland Menteng Jakarta Timur Dijual Rumah","Cakung, Jakarta Timur, DKI Jakarta","Rp","2,35 M","3","2","79 m²","Hubungi","Rp 27.976.190 per m²","",""
"Strategis Cocok Utk Usaha","Jl. Mesjid Alwustho, Pondok Bambu, Jakarta Timur, DKI Jakarta","Rp","4 M","8","4","300 m²","Hubungi","Rp 20.000.000 per m²","",""
"Strategis Murah Bwh NJOP","Kemang Utara 9 No 63, Kemang, Jakarta Selatan, DKI Jakarta","Rp","20 M","5","4","800 m²","Hubungi","Rp 19.047.619 per m²","",""
