"ui-organisms-card-r123-featured__middle-section__price","ui-organisms-card-r123-featured__middle-section__address","attribute-text","attribute-text 2","attribute-text 3","attribute-value","attribute-value 2"
"Rp 2,7 Miliar","Jelambar, Jakarta Barat","4","4","1","92 m²","218 m²"
"Rp 2,7 Miliar","Jelambar, Jakarta Barat","4","3","","92 m²","231 m²"
"Rp 35 Miliar","Kemayoran, Jakarta Pusat","5","11","7","746 m²","1100 m²"
"Rp 8,5 Miliar","Pantai Indah Kapuk, Jakarta Utara","4","3","2","300 m²","350 m²"
"Rp 16,5 Miliar","Permata Buana, Jakarta Barat","3","3","1","300 m²","450 m²"
"Rp 6,6 Miliar","Pantai Indah Kapuk, Jakarta Utara","3","4","1","200 m²","250 m²"
"Rp 18,8 Miliar","Pantai Indah Kapuk, Jakarta Utara","5","6","2","390 m²","650 m²"
"Rp 6 Miliar","Permata Buana, Jakarta Barat","5","4","","120 m²","280 m²"
"Rp 14 Miliar","Pantai Indah Kapuk, Jakarta Utara","","","","250 m²","300 m²"
"Rp 3,65 Miliar","Pantai Indah Kapuk, Jakarta Utara","3","3","","75 m²","200 m²"
"Rp 2,75 Miliar","Cakung, Jakarta Timur","3","3","2","225 m²","127 m²"
"Rp 8,5 Miliar","Pantai Indah Kapuk, Jakarta Utara","3","3","2","200 m²","297 m²"
"Rp 1,15 Miliar","Tanjung Barat, Jakarta Selatan","2","1","","44 m²","50 m²"
"Rp 1,15 Miliar","Tanjung Barat, Jakarta Selatan","3","2","","43 m²","55 m²"
"Rp 2,5 Miliar","Ancol, Jakarta Utara","2","2","","84 m²","113 m²"
"Rp 5,4 Miliar","Lebak Bulus, Jakarta Selatan","5","5","1","176 m²","250 m²"
"Rp 4,5 Miliar","Muara Karang, Jakarta Utara","","","","200 m²","200 m²"
"Rp 2,64 Miliar","Jagakarsa, Jakarta Selatan","4","4","1","110 m²","140 m²"
"Rp 14,9 Miliar","Intercon, Jakarta Barat","7","4","6","652 m²","526 m²"
"Rp 5,7 Miliar","Citra Garden, Jakarta Barat","3","3","","255 m²","270 m²"
"Rp 2,2 Miliar","Jelambar, Jakarta Barat","3","3","","64 m²","170 m²"
"Rp 2,95 Miliar","Kelapa Gading, Jakarta Utara","4","3","","102 m²",""
"Rp 17 Miliar","Pantai Indah Kapuk, Jakarta Utara","4","3","2","360 m²","430 m²"
"Rp 822 Juta","Cipinang, Jakarta Timur","2","2","","33 m²","68 m²"
"Rp 3,35 Miliar","Puri Mansion, Jakarta Barat","4","4","2","120 m²","160 m²"
"Rp 3,5 Miliar","Tanjung Duren, Jakarta Barat","3","2","1","138 m²","130 m²"
"Rp 5 Miliar","Pluit, Jakarta Utara","4","2","1","160 m²","300 m²"
"Rp 477 Juta","Sumur Batu, Jakarta Pusat","2","2","","22 m²","40 m²"
"Rp 560 Juta","Tamansari, Jakarta Barat","2","2","","22 m²","42 m²"
"Rp 3,8 Miliar","Kembangan Selatan, Jakarta Barat","4","2","","135 m²","180 m²"
"Rp 12,5 Miliar","Puri Indah, Jakarta Barat","5","4","2","360 m²","550 m²"
"Rp 3,98 Miliar","Jelambar, Jakarta Barat","5","5","1","86 m²","208 m²"
"Rp 4,5 Miliar","Pantai Indah Kapuk, Jakarta Utara","3","3","1","120 m²","163 m²"
