"nav-link","listing-location","currency","price","bed","bath","listing-floorarea","listing-floorarea 2","hidden-sm href 2","hidden-sm 2"
"H City Sawangan","27 Jalan Raya Parung, Sawangan, Depok, Jawa Barat","Rp","700 jt - Rp 800 jt","2","1","45 m²","","",""
"Grand Depok City","Jl. Boulevard Grand Depok City,Tirtajaya, Sukma Jaya, Depok, Jawa Barat","Rp","1,058 M","","","84 m²","","",""
"Jual Rumah Siap Huni di The Orchid Green Park Dekat Bojongsari Depok Harga All In Siap KPR","The Orchid Green Park, Bojongsari, Depok, Jawa Barat","Rp","660 jt","2","1","50 m²","Rp 8.048.780 per m²","",""
"Promo free biaya biaya","Tanah baru, Tanah Baru, Depok, Jawa Barat","Rp","750 jt","3","2","61 m²","Rp 12.500.000 per m²","",""
"Jual Rumah Siap Huni Strategis Dekat Sawangan Depok Harga All In Siap KPR","Villa Inti Persada, Sawangan, Depok, Jawa Barat","Rp","1,68 M","3","2","88 m²","Rp 11.052.632 per m²","",""
"Rumah 1, 5 Lantai Dekat Stasiun Kereta di Pancoran Mas","7 Menit Ke Stasiun Kereta, Pancoran Mas, Depok, Jawa Barat","Rp","690 jt","2","1","50 m²","Rp 9.200.000 per m²","",""
"Jual Rumah Siap Huni Di Griya Melati Mas Depok Harga All In Siap KPR DP Ringan","Griya Melati Mas, Cilodong, Depok, Jawa Barat","Rp","660 jt","2","1","72 m²","Rp 9.166.667 per m²","",""
"Jual Rumah Siap Huni Di Griya Melati Mas Dekat Citayam Harga All In Siap KPR DP Ringan","Griya Melati Mas, Citayam, Depok, Jawa Barat","Rp","660 jt","2","1","72 m²","Rp 9.166.667 per m²","",""
"Rumah hunian muslim dekat kawasan GDC bisa proses tanpa dp","Cilodong, Pancoran Mas, Depok, Jawa Barat","Rp","820 jt","3","2","71 m²","Rp 9.761.905 per m²","",""
"Bumi Pancoran Mas","Jl Bumi Pancoran Mas Raya, Pancoran Mas, Depok, Pancoran Mas, Depok, Jawa Barat","Rp","695 jt","3","1","44 m²","Rp 10.220.588 per m²","",""
"CIMANGGIS","JL HARJA MUKTI, Cimanggis, Depok, Jawa Barat","Rp","1,3104 M","3","2","90 m²","Rp 12.246.729 per m²","",""
"Jual Rumah Siap Huni Bebas Banjir di Raffles Hills Siap KPR Harga Nego Biaya All In","Raffles Hills, Cimanggis, Depok, Jawa Barat","Rp","1,2 M","3","3","78 m²","Rp 12.244.898 per m²","",""
"Jual Rumah Strategis Di Perum Taman Puspa Dekat Beji Harga All In Bisa Nego Siap KPR","Perumahan Taman Puspa, Beji, Depok, Jawa Barat","Rp","1,8 M","4","2","130 m²","Rp 17.142.857 per m²","",""
"Jual Rumah Strategis Di Perum Taman Puspa Harga All In Bisa Nego Siap KPR","Perumahan Taman Puspa, Cimanggis, Depok, Jawa Barat","Rp","1,8 M","4","2","130 m²","Rp 17.142.857 per m²","",""
"Shila at Sawangan","Jl. Golf No.7, Jalan Sawangan Lama, Bojongsari Lama, Sawangan, Depok, Jawa Barat, Sawangan, Depok, Jawa Barat","Rp","3,7 M","4","4","134 m²","Rp 27.007.299 per m²","",""
"Jual Rumah Siap Huni Di Perum The Grove Dekat Tapos Harga All In Siap KPR DP Ringan","Perumahan The Grove, Tapos, Depok, Jawa Barat","Rp","540 jt","2","1","50 m²","Rp 6.428.571 per m²","",""
"Jual Rumah Luas Bebas Banjir Di Perum Permata Puri Laguna Harga All In Siap KPR","Perumahan Permata Puri Laguna, Sukma Jaya, Depok, Jawa Barat","Rp","2,999 M","4","4","150 m²","Rp 12.926.724 per m²","",""
"TERASBALI PREMIER, RUMAH MEWAH DEKAT GERBANG TOL CIBUBUR","Jl. Mandiri, Harjamukti Cimanggis Depok, Cimanggis, Depok, Jawa Barat","Rp","1,5262 M","3","2","90 m²","Rp 16.957.778 per m²","",""
"Jual Rumah Siap Huni Di Cibinong Green Park Dekat Sukmajaya Harga All In Siap KPR","Cibinong Green Park, Sukma Jaya, Depok, Jawa Barat","Rp","699 jt","2","1","40 m²","Rp 7.943.182 per m²","",""
"Jual Rumah Siap Huni Di Cibinong Green Park Bebas Banjir Harga All In Bisa Nego Siap KPR","Cibinong Green Park, Cilodong, Depok, Jawa Barat","Rp","699 jt","2","1","40 m²","Rp 7.943.182 per m²","",""
"Cluster murah depok","Jl kemang pasir putih, Sawangan, Depok, Jawa Barat","","199","2","1","35 m²","Rp 4 per m²","",""
"Di jual rumah murah type 40/65 harga 285 jt nego","Jl masjid al barkah sawangan depok, Sawangan, Depok, Jawa Barat","","285","2","1","40 m²","Rp 4 per m²","",""
"Cluster Murah type 40/60 harga 275jt","Jl.Masjid Al - Barkah pasir putih sawangan depok, Sawangan, Depok, Jawa Barat","","275","2","","40 m²","Rp 5 per m²","",""
"Di jual rumah murah type minimalis","Jl kemang pasir putih sawangan depok, Sawangan, Depok, Jawa Barat","","199","2","1","50 m²","Rp 4 per m²","",""
"Grand Depok City","Jl. Boulevard Grand Depok City,Tirtajaya, Sukma Jaya, Depok, Jawa Barat","Rp","900 jt","3","2","75 m²","Rp 9.183.673 per m²","",""
"Tanbassa Depok Residence","Jl. Melati Raya Bar., Sawangan, Depok, Jawa Barat","Rp","599 jt","2","2","46 m²","Rp 10.696.429 per m²","",""
"RUMAH SULTAN HANYA 900Jt-an","Jl. Raya Muchtar Sawangan Village, Sawangan, Depok, Jawa Barat","Rp","945 jt","3","2","65 m²","Rp 9.843.750 per m²","",""
"Rumah Sawangan Depok DP 2, 9 Jt Cicilan 2 Jutaan Free Biaya Kpr","Jalan bedahan, Sawangan, Depok, Jawa Barat","Rp","372 jt","2","2","40 m²","Rp 9.300.000 per m²","",""
"Di jual rumah murah type 40/65 harga 285 jt nego","Jl masjid al barkah sawangan depok, Sawangan, Depok, Jawa Barat","","285","2","1","40 m²","Rp 4 per m²","",""
"Cluster Murah type 40/60 harga 275jt","Jl.Masjid Al - Barkah pasir putih sawangan depok, Sawangan, Depok, Jawa Barat","","275","2","","40 m²","Rp 5 per m²","",""
"Di jual rumah murah type minimalis","Jl kemang pasir putih sawangan depok, Sawangan, Depok, Jawa Barat","","199","2","1","50 m²","Rp 4 per m²","",""
"Grand Depok City","Jl. Boulevard Grand Depok City,Tirtajaya, Sukma Jaya, Depok, Jawa Barat","Rp","900 jt","3","2","75 m²","Rp 9.183.673 per m²","",""
"RUMAH SULTAN HANYA 900Jt-an","Jl. Raya Muchtar Sawangan Village, Sawangan, Depok, Jawa Barat","Rp","945 jt","3","2","65 m²","Rp 9.843.750 per m²","",""
"Rumah Sawangan Depok DP 2, 9 Jt Cicilan 2 Jutaan Free Biaya Kpr","Jalan bedahan, Sawangan, Depok, Jawa Barat","Rp","372 jt","2","2","40 m²","Rp 9.300.000 per m²","",""
"Perumahan Terasbali Premiere 2 km ke Pintu Tol Cibubur","Jl Mandiri kel-harjamukti kec-cimanggis kota-depok, Harjamukti, Depok, Jawa Barat","Rp","1,5262 M","3","2","90 m²","Rp 16.957.778 per m²","",""
"Rumah 1 Lantai Dekat Pintu Tol Cibubur","Jalan Bungur 2, Harjamukti, Depok, Jawa Barat","Rp","892,440212 jt","2","1","42 m²","Rp 13.124.121 per m²","",""
"Survey Serentak Rumah 2 Lt Di Sawangan Depok Dp 2, 9 Juta Free Biaya","Jalan Bedahan, Cilodong, Depok, Jawa Barat","Rp","372 jt","2","2","40 m²","Rp 9.300.000 per m²","",""
"Perumahan 2 lantai Ready stok Dekat Dengan LRT dan Tol Cibubur","Jl Bungur 2, Cimanggis, Depok, Jawa Barat","Rp","1,18033525 M","2","3","70 m²","Rp 14.394.332 per m²","",""
"Cluster Mewah Dekat LRT Cibubur","Jl Mandiri, Harjamukti, Depok, Jawa Barat","Rp","1,5262 M","3","2","90 m²","Rp 16.957.778 per m²","",""
"Jual Rumah Unit Pojokan Siap Huni Strategis Dekat Limo Harga All In Bisa Nego Siap KPR","Cinangka Garden Hill, Limo, Depok, Jawa Barat","Rp","1,32 M","3","2","160 m²","Rp 14.666.667 per m²","",""
"Jual Rumah Bebas Banjir Strategis di Komplek Omma Indah Harga Nego Biaya All In Siap KPR","Komplek Omma Indah I, Jl. Gandaria, Tapos, Depok, Jawa Barat","Rp","1,02 M","3","2","140 m²","Rp 8.500.000 per m²","",""
"Jual Rumah Strategis Di Victoria Hills Residence Dekat Tapos Depok Harga All In Siap KPR","Victoria Hills Residence, Tapos, Depok, Jawa Barat","Rp","1,5 M","3","3","88 m²","Rp 17.857.143 per m²","",""
"Jual Rumah Siap Huni Strategis Dekat Sukma Jaya Depok Harga All In Siap KPR","Pondok Mandala 1, Sukma Jaya, Depok, Jawa Barat","Rp","1,05 M","5","2","154 m²","Rp 12.650.602 per m²","",""
"Jual Rumah Siap Huni Strategis Di Grand Depok City Dekat Beji Harga All In Siap KPR","Grand Depok City Cluster Verbena, Beji, Depok, Jawa Barat","Rp","1,56 M","3","3","145 m²","Rp 13.565.217 per m²","",""
"Jual Rumah Asri Siap Huni Unit Pojok Strategis Dekat Pancoran Mas Harga All In Siap KPR","Grand Depok City Cluster Acacia, Pancoran Mas, Depok, Jawa Barat","Rp","4,2 M","3","4","120 m²","Rp 21.649.485 per m²","",""
"Jual Rumah Strategis Di Tamansari Puri Bali Dekat Limo Bebas Banjir Harga All In Siap KPR","Tamansari Puri Bali, Limo, Depok, Jawa Barat","Rp","1,1 M","4","2","110 m²","Rp 6.918.239 per m²","",""
"Jual Rumah Seken Terawat Bebas Banjir Dekat Cinere Depok Harga Nego Biaya All In Siap KPR","Cinere, Depok, Jawa Barat","Rp","1,98 M","3","2","105 m²","Rp 20.842.105 per m²","",""
"Rumah 2 lantai lokasi pinggir jalan raya bhakti abri","Jl. Bhakti Abri, Tapos, Depok, Jawa Barat","Rp","790 jt","3","2","56 m²","Rp 12.741.935 per m²","",""
"Jual Rumah Strategis di Perum Matoa Hill Dekat Beji Siap Huni Harga All In Siap KPR","Perum Matoa Hill, Beji, Depok, Jawa Barat","Rp","1,98 M","3","2","105 m²","Rp 20.842.105 per m²","",""
"Jual Rumah Modern Bebas Banjir Dekat Bojongsari Depok Harga All In Nego Siap KPR","Bojongsari, Depok, Jawa Barat","Rp","1,56 M","3","2","90 m²","Rp 14.311.927 per m²","",""
"Jual Rumah Minimalis Siap Huni Strategis Dekat Beji Harga Nego Biaya All In Siap KPR","Perumahan Depok Country, Beji, Depok, Jawa Barat","Rp","810 jt","2","1","45 m²","Rp 9.642.857 per m²","",""
"Jual Rumah Di Permata Depok Regency Dekat Margonda Harga All In Siap KPR DP Ringan","Permata Depok Regency, Margonda, Depok, Jawa Barat","Rp","660 jt","2","1","50 m²","Rp 9.565.217 per m²","",""
"Jual Cepat Rumah Luas Bebas Banjir Dekat Cinere Harga Nego Biaya All In Siap KPR","Cinere, Depok, Jawa Barat","Rp","1,08 M","3","2","160 m²","Rp 6.545.455 per m²","",""
"Jual Cepat Rumah 2 Lantai Strategis Siap Huni di Perum Matoa Hill Harga All In Siap KPR","Limo, Depok, Jawa Barat","Rp","1,98 M","3","2","105 m²","Rp 20.842.105 per m²","",""
"Jual Rumah Seken Terawat Siap Huni Dekat Sukaraja Bogor Harga All In Nego Siap KPR","Cilodong, Depok, Jawa Barat","Rp","500 jt","2","1","45 m²","Rp 6.024.096 per m²","",""
"Jual Rumah Luas Bebas Banjir Strategis Di The Akasia Terrace Dekat Sawangan Harga All In Siap KPR","The Akasia Terrace, Sawangan, Depok, Jawa Barat","Rp","1,35 M","3","3","100 m²","Rp 10.975.610 per m²","",""
"Jual Rumah Seken Terawat Strategis Bebas Banjir Dekat Cinere Harga All In Bisa Nego Siap KPR","Cinere, Depok, Jawa Barat","Rp","1,08 M","3","2","80 m²","Rp 12.857.143 per m²","",""
"Jual Rumah Siap Huni Strategis Di Perumahan Palm Residence Harga All In Siap KPR","Perumahan Palm Residence, Sawangan, Depok, Jawa Barat","Rp","699 jt","2","1","43 m²","Rp 9.708.333 per m²","",""
"Jual Rumah Siap Huni Strategis Dekat Bojongsari Harga All In Bisa Nego Siap KPR","Cinangka Garden Hill, Bojongsari, Depok, Jawa Barat","Rp","1,32 M","3","2","160 m²","Rp 14.666.667 per m²","",""
"Jual Rumah Siap Huni Strategis Dekat Cimanggis Harga Nego Biaya All In Siap KPR","Komplek Omma Indah l, Cimanggis, Depok, Jawa Barat","Rp","1,02 M","3","2","140 m²","Rp 8.500.000 per m²","",""
"Jual Rumah Bebas Banjir Strategis di Pondok Mandala 1 Depok Harga All In Bisa Nego Siap KPR","Pondok Mandala 1, Cimanggis, Depok, Jawa Barat","Rp","1,05 M","5","2","154 m²","Rp 12.650.602 per m²","",""
"Jual Rumah Minimalis Siap Huni Strategis Dekat Bojongsari Harga All In Bisa Nego Siap KPR","Natura Acacia Drive, Bojongsari, Depok, Jawa Barat","Rp","900 jt","2","1","45 m²","Rp 11.111.111 per m²","",""
"Jual Rumah Siap Huni Bebas Banjir Strategis Dekat Limo Harga All In Bisa Nego Siap KPR","Jalan Melati Buana, Limo, Depok, Jawa Barat","Rp","710 jt","2","1","60 m²","Rp 8.255.814 per m²","",""
"Jual Rumah Seken Terawat Di Juanda Green Residence Dekat Beji Harga All In Siap KPR","Juanda Green Residence, Beji, Depok, Jawa Barat","Rp","1,66 M","3","3","140 m²","Rp 14.690.265 per m²","",""
"Jual Rumah Seken Harga Nego Biaya All In Strategis Dekat Sawangan Depok Siap KPR","Trevista Park, Sawangan, Depok, Jawa Barat","Rp","1,02 M","2","2","40 m²","Rp 12.142.857 per m²","",""
"Jual Cepat Rumah Siap Huni Harga Nego di Perum Taman Jasmine Mas Biaya All in Bisa KPR","Bojongsari, Depok, Jawa Barat","Rp","900 jt","3","1","81 m²","Rp 11.111.111 per m²","",""
"Jual Cepat Rumah Asri Unit Pojokan Siap Huni di Grand Depok City Harga All In Siap KPR","Grand Depok City Cluster Acacia, Sukma Jaya, Depok, Jawa Barat","Rp","4,2 M","3","4","120 m²","Rp 21.649.485 per m²","",""
"Jual Rumah Asri Unit Pojok Siap Huni Strategis Dekat Beji Harga All In Siap KPR","Grand Depok City Cluster Acacia, Beji, Depok, Jawa Barat","Rp","4,2 M","3","4","120 m²","Rp 21.649.485 per m²","",""
"Jual Rumah Seken Terawat Strategis Dekat Margonda Depok Harga Nego Biaya All In Siap KPR","Jl. Mandor Samin, Kalibaru, Cilodong, Depok, Margonda, Depok, Jawa Barat","Rp","1,56 M","3","2","90 m²","Rp 21.666.667 per m²","",""
"Jual Rumah Siap Huni Strategis Di Cluster Cinere Modern Depok Harga All In Siap KPR","Cluster Cinere Modern, Cinere, Depok, Jawa Barat","Rp","1,5 M","4","3","150 m²","Rp 9.933.775 per m²","",""
"Jual Cepat Rumah Seken Terawat Strategis Dekat Citayam Depok Harga All In Siap KPR","The Green Hill Cluster Bay Hill, Citayam, Depok, Jawa Barat","Rp","1,08 M","3","2","84 m²","Rp 12.857.143 per m²","",""
"Jual Rumah Siap Huni Di Perum Cibinong Griya Asri Dekat Cilodong Harga All In Siap KPR","Perumahan Cibinong Griya Asri, Cilodong, Depok, Jawa Barat","Rp","780 jt","3","2","200 m²","Rp 8.666.667 per m²","",""
"Jual Rumah Siap Huni Strategis di Grand Depok City Harga Nego Biaya All In Siap KPR","Grand Depok City Cluster Verbena, Sukma Jaya, Depok, Jawa Barat","Rp","1,56 M","3","3","145 m²","Rp 13.565.217 per m²","",""
"Jual Rumah Seken Siap Huni di Perumahan Sawo Griya Kencana Dekat Sawangan Harga All In Siap KPR","Perumahan Sawo Griya Kencana 1, Sawangan, Depok, Jawa Barat","Rp","1,08 M","3","2","80 m²","Rp 12.857.143 per m²","",""
