"ui-organisms-card-r123-featured__middle-section__price","ui-organisms-card-r123-featured__middle-section__address","attribute-text","attribute-text 2","attribute-text 3","attribute-value","attribute-value 2"
"Rp 930 Juta","Cinere, Depok","2","2","1","91 m²","55 m²"
"Rp 810 Juta","Citayam, Depok","2","1","1","84 m²","45 m²"
"Rp 899 Juta","Sukatani, Depok","2","1","1","105 m²","60 m²"
"Rp 1,56 Miliar","Margonda, Depok","3","3","1","115 m²","145 m²"
"Rp 1,5 Miliar","Cinere, Depok","4","3","2","151 m²","150 m²"
"Rp 4,2 Miliar","Margonda, Depok","3","4","1","194 m²","120 m²"
"Rp 1,2 Miliar","Pancoran Mas, Depok","3","3","1","120 m²","100 m²"
"Rp 780 Juta","Bojong Sari, Depok","2","1","1","72 m²","42 m²"
"Rp 1,02 Miliar","Bojong Sari, Depok","2","2","1","84 m²","40 m²"
"Rp 840 Juta","Tapos, Depok","2","1","1","86 m²","50 m²"
"Rp 900 Juta","Bojong Sari, Depok","3","1","1","81 m²","81 m²"
"Rp 2,28 Miliar","Sukmajaya, Depok","3","4","1","180 m²","200 m²"
"Rp 1,65 Miliar","Cinere, Depok","3","3","1","78 m²","110 m²"
"Rp 725 Juta","Cilodong, Depok","2","1","1","96 m²","71 m²"
"Rp 1,56 Miliar","Sukmajaya, Depok","3","3","1","115 m²","145 m²"
"Rp 660 Juta","Cilodong, Depok","2","1","1","72 m²","72 m²"
"Rp 4,9 Miliar","Cinere, Depok","4","3","2","756 m²","500 m²"
"Rp 2,04 Miliar","Cibubur, Depok","3","2","1","130 m²","121 m²"
"Rp 1,5 Miliar","Pancoran Mas, Depok","3","3","1","84 m²","88 m²"
"Rp 930 Juta","Limo, Depok","2","2","1","91 m²","55 m²"
"Rp 2,16 Miliar","Sawangan, Depok","2","1","1","152 m²","60 m²"
"Rp 1,2 Miliar","Tapos, Depok","2","2","1","90 m²","135 m²"
"Rp 500 Juta","Bojong Sari, Depok","2","1","1","75 m²","50 m²"
"Rp 590 Juta","Cinangka, Depok","2","1","1","72 m²","50 m²"
"Rp 790 Juta","Pancoran Mas, Depok","3","2","1","72 m²","85 m²"
"Rp 690 Juta","Pancoran Mas, Depok","2","1","1","75 m²","50 m²"
"Rp 699 Juta","Limo, Depok","3","2","","42 m²","66 m²"
"Rp 1,15 Miliar","Cinere, Depok","3","3","1","72 m²","110 m²"
"Rp 1,89 Miliar","Kelapa Dua, Depok","4","3","","133 m²","160 m²"
