"nav-link","listing-location","currency","price","bed","bath","listing-floorarea","listing-floorarea 2","hidden-sm href 2","hidden-sm 2"
"CitraGrand Cibubur CBD - New Project","Jl. CitraGrand Cibubur CBD, Jatisampurna, Bekasi, Jawa Barat","Rp","1,21 M","3","2","60 m²","","",""
"Palem Lestari","Jl. Raya Mess Al, Jatisampurna, Bekasi, Jawa Barat","Rp","1,187 M","3","3","77 m²","","",""
"Bekasi kota","Jatiasih, Bekasi Selatan, Bekasi, Jawa Barat","Rp","900 jt","2","2","48 m²","Rp 15.000.000 per m²","",""
"Full Bata Merah, Dp10jt (All in) Cicilan 2jtan, Free Semua Biaya, Bebas Banjir, Dekat Gerbang Tol","081289299785,10 Menit dari Gerbang Tol, Jatiasih, Bekasi, Jawa Barat","","555","2","1","47 m²","Rp 9 per m²","",""
"Jatiasih","Wibawa Mukti, Jatiasih, Bekasi, Jawa Barat","Rp","600 jt","2","2","60 m²","Rp 10.909.091 per m²","",""
"Pondok gede","Jatimakmur, Bekasi, Bekasi, Jawa Barat","Rp","845 jt","3","2","75 m²","Rp 13.000.000 per m²","",""
"Cluster Marocco Grand Kota Bintang","Jalan. KH Noer Ali, Kalimalang, Bekasi Barat, Bekasi, Jawa Barat","Rp","1,3986 M","3","2","75 m²","Rp 15.540.000 per m²","",""
"PERDANA Summarecon Crown Gading SCG rumah 2lt lebar 5 harga 1 Milyar An","Harapan Indah, Bekasi, Jawa Barat","Rp","952 jt","2","2","70 m²","Rp 17.309.091 per m²","",""
"Cluster Adara Harapan Indah Bekasi Dijual Rumah","Harapan Indah, Bekasi, Jawa Barat","Rp","1,6 M","2","2","80 m²","Rp 12.698.413 per m²","",""
"Rumah baru dijual dalam cluster 4 unit 2 lantai lagi di jati luhur jati asih","Bekasi Selatan, Bekasi, Jawa Barat","Rp","760 jt","3","2","70 m²","Rp 11.692.308 per m²","",""
"Dp 10Jt, Cicilan start 4jt, Cluster 2 Lantai Termurah dengan lokasi yg Strategis Tidak Banjir","081289299785, 10 Menit dari Gerbang Tol, Jatiasih, Bekasi, Jawa Barat","","690","3","2","72 m²","Rp 9 per m²","",""
"Rumah Cantik 2 lantai Grand Wisata","Grand Wisata, Grand Wisata, Bekasi, Jawa Barat","Rp","1,4 M","4","3","140 m²","Rp 13.333.333 per m²","",""
"Amna residen cibubur jatikarya","Amna residen cibubur jatikarya Bekasi jawabarat, Cibubur, Bekasi, Jawa Barat","Rp","400 jt","2","1","37 m²","Rp 6.666.667 per m²","",""
"Harapan Indah",". Jl Bekasi Raya, Medan Satria, Bekasi, Medan Satria, Bekasi, Jawa Barat","Rp","779 jt","3","2","63 m²","Rp 14.698.113 per m²","",""
"Rumah milenial smarthome bekasi","Jalan gondang mustika bekasi, Rawalumbu, Bekasi, Jawa Barat","Rp","689,532255 jt","2","2","52 m²","Rp 13.790.645 per m²","",""
"Swadaya Townhouse","Jl Bojongkulur, Bojong Kulur, Bekasi, Jatiasih, Bekasi, Jawa Barat","Rp","435 jt","2","1","40 m²","Rp 7.250.000 per m²","",""
"Cibubur","Harvest City, Cibubur, Bekasi, Jawa Barat","Rp","498 jt","2","1","30 m²","Rp 8.300.000 per m²","",""
"Jual Rumah Strategis Dekat Gerbang Tol Tambun Harga Nego Bisa KPR Biaya All in Bebas Banjir","Tambun Selatan, Bekasi, Jawa Barat","Rp","680 jt","2","1","36 m²","Rp 9.444.444 per m²","",""
"Jual Rumah Siap Huni Di Premier Savanna Vida Dekat Jatiasih Harga All In Nego Siap KPR","Premier Savanna Vida, Jatiasih, Bekasi, Jawa Barat","Rp","780 jt","2","1","53 m²","Rp 9.285.714 per m²","",""
"10 Juta Punya Rumah Full Bata Merah","Jatiasih, Jatiasih, Bekasi, Jawa Barat","","500","2","1","41 m²","Rp 9 per m²","",""
"Beli Rumah Hanya 5Jt di Jatiasih","Jatiasih, Jatiasih, Bekasi, Jawa Barat","","725","2","2","56 m²","Rp 11 per m²","",""
"RUMAH READY STOCK 5 JT SIAP HUNI SHM IMB READY","AKSES LEBAR FREE CANOPY PAGAR DI JATIASIH, Jatiasih, Bekasi, Jawa Barat","","700","2","2","53 m²","Rp 11 per m²","",""
"Jual Cepat Rumah Luas Strategis Harga All in di Royal Park Residence Siap KPR Bebas Banjir","Bekasi Timur, Bekasi, Jawa Barat","Rp","1,2 M","3","2","90 m²","Rp 7.272.727 per m²","",""
"Jual Cepat Rumah Minimalis Modern Siap KPR di Citragrand Cibubur Harga All In","Jaka Sampurna, Bekasi, Jawa Barat","Rp","1,62 M","3","2","116 m²","Rp 22.500.000 per m²","",""
