"ui-organisms-card-r123-featured__middle-section__price","ui-organisms-card-r123-featured__middle-section__address","attribute-text","attribute-text 2","attribute-text 3","attribute-value","attribute-value 2"
"Rp 1,56 Miliar","Jati Asih, Bekasi","3","3","1","124 m²","240 m²"
"Rp 1,15 Miliar","Cibubur, Bekasi","2","1","1","90 m²","70 m²"
"Rp 950 Juta","Bekasi Utara, Bekasi","3","2","1","66 m²","87 m²"
"Rp 1,08 Miliar","Jatisampurna, Bekasi","2","2","1","105 m²","90 m²"
"Rp 1,15 Miliar","Jatisampurna, Bekasi","2","1","1","90 m²","70 m²"
"Rp 3,5 Miliar","Summarecon Bekasi, Bekasi","4","3","1","180 m²","196 m²"
"Rp 1,75 Miliar","Pondokmelati, Bekasi","3","2","1","72 m²","80 m²"
"Rp 675 Juta","Cibubur, Bekasi","3","2","1","54 m²","60 m²"
"Rp 3,75 Miliar","Kemang Pratama, Bekasi","4","3","1","345 m²","400 m²"
"Rp 1,12 Miliar","Harapan Indah, Bekasi","3","2","1","126 m²","126 m²"
"","","2","1","2","60 m²","30 m²"
"","","3","2","3","60 m²","60 m²"
"Rp 799 Juta","Jati Asih, Bekasi","2","1","","97 m²","70 m²"
"Rp 1,2 Miliar","Cibubur, Bekasi","2","3","","98 m²","78 m²"
"Rp 2,04 Miliar","Cibubur, Bekasi","3","2","1","130 m²","121 m²"
"Rp 1,75 Miliar","Jatimelati, Bekasi","3","2","1","72 m²","80 m²"
"Rp 700 Juta","Jati Asih, Bekasi","3","2","","77 m²","67 m²"
"Rp 900 Juta","Jatiwaringin, Bekasi","3","2","2","69 m²","85 m²"
"Rp 750 Juta","Jati Asih, Bekasi","2","2","1","65 m²","53 m²"
"Rp 2,69 Miliar","Harapan Indah, Bekasi","5","4","","240 m²","320 m²"
"Rp 1,2 Miliar","Bekasi Timur, Bekasi","2","2","","84 m²","73 m²"
"Rp 1,75 Miliar","Harapan Indah, Bekasi","4","4","1","160 m²","280 m²"
"Rp 1,3 Miliar","Bekasi, Bekasi","5","3","","300 m²","200 m²"
"Rp 2,71 Miliar","Bekasi, Bekasi","3","3","","135 m²","149 m²"
"Rp 952 Juta","Bekasi, Bekasi","2","2","","55 m²","50 m²"
"Rp 1,3 Miliar","Bekasi Utara, Bekasi","5","3","","300 m²","200 m²"
"Rp 1,56 Miliar","Jatisampurna, Bekasi","3","3","1","124 m²","240 m²"
"Rp 499 Juta","Bantar Gebang, Bekasi","2","1","1","60 m²","30 m²"
"Rp 1,2 Miliar","Rawalumbu, Bekasi","3","2","1","165 m²","90 m²"
"Rp 920 Juta","Jatiwaringin, Bekasi","4","3","2","113 m²","85 m²"
"Rp 1,15 Miliar","Jatisampurna, Bekasi","2","1","1","90 m²","70 m²"
"Rp 799 Juta","Jati Asih, Bekasi","2","1","1","97 m²","70 m²"
"","","2","1","2","60 m²","25 m²"
"","","1","1","2","60 m²","22 m²"
"","","5","4","5","120 m²","136 m²"
"Rp 2,99 Miliar","Summarecon Bekasi, Bekasi","4","4","","239 m²","272 m²"
"Rp 300 Juta","Bekasi, Bekasi","2","1","1","60 m²","36 m²"
"Rp 3,7 Miliar","Jatiwarna, Bekasi","3","4","3","216 m²","300 m²"
"Rp 1,29 Miliar","Jatiwarna, Bekasi","3","2","","91 m²","130 m²"
"Rp 1,2 Miliar","Jatiwarna, Bekasi","3","2","1","91 m²","130 m²"
"Rp 1,99 Miliar","Harapan Indah, Bekasi","4","4","","160 m²","216 m²"
"Rp 575 Juta","Bekasi Kota, Bekasi","2","1","1","60 m²","55 m²"
"Rp 300 Juta","Setu, Bekasi","2","1","1","60 m²","36 m²"
"Rp 435 Juta","Jati Asih, Bekasi","2","1","1","60 m²","40 m²"
"Rp 1,08 Miliar","Jatisampurna, Bekasi","2","2","1","105 m²","90 m²"
"Rp 1,56 Miliar","Jatisampurna, Bekasi","3","3","1","124 m²","240 m²"
"Rp 950 Juta","Bekasi Utara, Bekasi","3","2","1","66 m²","87 m²"
"Rp 499 Juta","Bantar Gebang, Bekasi","2","1","1","60 m²","30 m²"
"Rp 799 Juta","Jati Asih, Bekasi","2","1","1","97 m²","70 m²"
"Rp 1,2 Miliar","Mustikajaya, Bekasi","3","2","1","165 m²","90 m²"
"Rp 680 Juta","Mustikajaya, Bekasi","2","1","1","72 m²","36 m²"
"Rp 1,15 Miliar","Jatisampurna, Bekasi","2","1","1","90 m²","70 m²"
"Rp 550 Juta","Jati Asih, Bekasi","2","1","1","67 m²","47 m²"
"Rp 3,1 Miliar","Harapan Indah, Bekasi","5","4","2","376 m²","700 m²"
"Rp 1,18 Miliar","Jatiwarna, Bekasi","3","3","1","77 m²","84 m²"
"Rp 1,2 Miliar","Mustikajaya, Bekasi","3","2","1","165 m²","90 m²"
"Rp 680 Juta","Mustikajaya, Bekasi","2","1","1","72 m²","36 m²"
"Rp 1,15 Miliar","Harapan Indah, Bekasi","2","2","1","112 m²","60 m²"
"Rp 850 Juta","Harapan Mulya, Bekasi","2","1","","180 m²","100 m²"
"Rp 500 Juta","Setu, Bekasi","2","2","1","60 m²","48 m²"
"Rp 500 Juta","Setu, Bekasi","2","2","1","60 m²","48 m²"
"Rp 680 Juta","Mustikajaya, Bekasi","2","1","1","72 m²","36 m²"
"Rp 1,18 Miliar","Jatisampurna, Bekasi","3","2","","84 m²","77 m²"
"Rp 1,28 Miliar","Jatiwarna, Bekasi","3","3","1","92 m²","130 m²"
"Rp 920 Juta","Pondok Gede, Bekasi","3","2","2","70 m²","85 m²"
"Rp 5,27 Miliar","Bekasi, Bekasi","4","3","2","192 m²","307 m²"
"Rp 2,3 Miliar","Grand Wisata, Bekasi","3","3","","200 m²","300 m²"
"Rp 1,59 Miliar","Jaka Setia, Bekasi","3","3","2","118 m²","156 m²"
"Rp 1,8 Miliar","Jatibening, Bekasi","4","3","2","140 m²","170 m²"
"Rp 750 Juta","Jati Asih, Bekasi","2","1","2","78 m²","54 m²"
"Rp 950 Juta","Bekasi Utara, Bekasi","3","2","1","66 m²","87 m²"
"","","3","2","3","60 m²","54 m²"
"Rp 590 Juta","Pedurenan, Bekasi","3","1","","120 m²","120 m²"
"Rp 935 Juta","Jatimakmur, Bekasi","3","3","2","65 m²","80 m²"
"Rp 730 Juta","Jatibening, Bekasi","2","1","1","80 m²","60 m²"
"Rp 1,99 Miliar","Harapan Indah, Bekasi","4","3","2","104 m²","120 m²"
"Rp 1,4 Miliar","Harapan Indah, Bekasi","3","2","2","77 m²","77 m²"
"Rp 14 Miliar","Bekasi, Bekasi","","","","783 m²","402 m²"
"Rp 1,75 Miliar","Harapan Indah, Bekasi","4","4","","160 m²","280 m²"
"Rp 2,71 Miliar","Bekasi, Bekasi","4","4","2","135 m²","149 m²"
"Rp 2,19 Miliar","Bekasi Utara, Bekasi","3","3","","136 m²","150 m²"
"Rp 680 Juta","Mustikajaya, Bekasi","2","1","","72 m²","36 m²"
"Rp 1,08 Miliar","Jatisampurna, Bekasi","2","2","1","105 m²","90 m²"
