km-tidur,km-mandi,garasi,bangunan,tanah,lokasi,harga
5,5,4,1200.0,483.0,Jakarta,45000000000
4,4,2,800.0,660.0,Jakarta,50000000000
25,25,0,600.0,525.0,Jakarta,11500000000
5,4,2,190.0,118.0,Jakarta,2700000000
3,3,2,120.0,120.0,Jakarta,2900000000
3,4,3,500.0,1300.0,Jakarta,22000000000
1,3,2,202.0,67.0,Jakarta,5500000000
4,3,2,220.0,340.0,Jakarta,6950000000
3,2,0,77.0,84.0,Jakarta,1180000000
3,3,2,120.0,100.0,Jakarta,2700000000
6,3,0,839.0,785.0,Jakarta,25000000000
3,3,2,165.0,144.0,Jakarta,3300000000
5,3,2,300.0,380.0,Jakarta,5990000000
3,2,1,80.0,58.0,Jakarta,1700000000
4,3,1,256.0,160.0,Jakarta,5100000000
4,3,2,186.0,162.0,Jakarta,4400000000
3,3,0,359.0,264.0,Jakarta,5500000000
3,3,1,90.0,40.0,Jakarta,1000000000
6,6,0,180.0,420.0,Jakarta,5800000000
3,3,0,200.0,150.0,Jakarta,5800000000
2,2,1,90.0,44.0,Jakarta,1000000000
4,3,1,158.0,66.0,Jakarta,2200000000
2,2,1,63.0,32.0,Jakarta,11843707482
4,4,0,300.0,322.0,Jakarta,3600000000
6,3,2,162.0,513.0,Jakarta,3000000000
4,3,3,500.0,732.0,Jakarta,16000000000
7,6,3,540.0,260.0,Jakarta,12500000000
4,3,1,361.0,153.0,Jakarta,2700000000
3,2,1,106.0,38.0,Jakarta,1290000000
3,2,0,52.0,32.0,Jakarta,11843707482
3,4,2,110.0,58.0,Jakarta,2700000000
4,3,1,180.0,66.0,Jakarta,2340000000
3,2,2,80.0,65.0,Jakarta,1170000000
4,4,1,300.0,200.0,Jakarta,4800000000
7,5,1,400.0,261.0,Jakarta,5000000000
3,3,1,650.0,455.0,Jakarta,28000000000
5,5,0,784.0,785.0,Jakarta,25000000000
3,2,0,407.0,778.0,Jakarta,38000000000
3,3,1,132.0,66.0,Jakarta,1500000000
4,4,2,400.0,200.0,Jakarta,14000000000
4,3,1,450.0,390.0,Jakarta,10800000000
3,2,0,100.0,90.0,Jakarta,2400000000
4,4,0,244.0,325.0,Jakarta,4700000000
3,3,0,150.0,75.0,Jakarta,2600000000
4,4,1,180.0,120.0,Jakarta,3500000000
3,1,1,90.0,72.0,Jakarta,1600000000
4,3,2,300.0,247.0,Jakarta,9900000000
5,4,2,1200.0,785.0,Jakarta,26000000000
4,4,10,679.0,1572.0,Jakarta,50000000000
6,5,2,600.0,768.0,Jakarta,34900000000
2,1,0,35.0,18.0,Jakarta,11843707482
4,4,0,216.0,135.0,Jakarta,3490000000
4,5,1,450.0,260.0,Jakarta,14000000000
3,3,1,320.0,300.0,Jakarta,12000000000
6,5,0,480.0,670.0,Jakarta,7490000000
3,2,0,120.0,60.0,Jakarta,1490000000
4,4,2,270.0,160.0,Jakarta,5620000000
4,4,0,210.0,140.0,Jakarta,3750000000
4,4,0,400.0,190.0,Jakarta,7900000000
4,4,0,990.0,450.0,Jakarta,18000000000
13,9,3,1170.0,925.0,Jakarta,69000000000
8,6,4,800.0,457.0,Jakarta,8000000000
3,2,2,522.0,190.0,Jakarta,7950000000
3,3,2,297.0,200.0,Jakarta,8500000000
3,2,2,100.0,180.0,Jakarta,2450000000
3,3,2,210.0,279.0,Jakarta,4000000000
5,5,0,580.0,616.0,Jakarta,28000000000
4,3,2,300.0,175.0,Jakarta,6100000000
3,3,0,300.0,927.0,Jakarta,55000000000
4,4,0,350.0,150.0,Jakarta,5900000000
6,5,3,350.0,475.0,Jakarta,11000000000
3,3,1,250.0,150.0,Jakarta,4600000000
17,17,0,264.0,66.0,Jakarta,4900000000
7,4,0,500.0,1069.0,Jakarta,23000000000
4,2,1,250.0,275.0,Jakarta,6100000000
12,13,8,500.0,510.0,Jakarta,14500000000
3,2,0,280.0,357.0,Jakarta,9850000000
5,4,1,1000.0,378.0,Jakarta,12000000000
3,2,2,200.0,115.0,Jakarta,2100000000
3,4,2,300.0,200.0,Jakarta,7000000000
4,2,2,190.0,350.0,Jakarta,4990000000
3,2,1,150.0,90.0,Jakarta,1800000000
3,3,0,200.0,150.0,Jakarta,5700000000
4,4,2,250.0,150.0,Jakarta,2400000000
5,4,1,200.0,236.0,Jakarta,7000000000
4,3,0,500.0,250.0,Jakarta,7300000000
2,1,0,35.0,18.0,Jakarta,11843707482
4,3,2,186.0,152.0,Jakarta,4190000000
4,3,0,129.0,120.0,Jakarta,3100000000
4,4,2,250.0,120.0,Jakarta,3250000000
4,4,2,600.0,325.0,Jakarta,32000000000
4,4,2,330.0,163.0,Jakarta,5500000000
30,30,0,300.0,188.0,Jakarta,7000000000
3,2,1,52.0,32.0,Jakarta,11843707482
3,3,2,750.0,300.0,Jakarta,23000000000
7,7,7,869.0,1180.0,Jakarta,45000000000
2,2,0,40.0,22.0,Jakarta,11843707482
3,3,0,600.0,245.0,Jakarta,13000000000
6,4,2,190.0,126.0,Jakarta,2500000000
3,3,0,300.0,282.0,Jakarta,5500000000
4,4,0,207.0,86.0,Jakarta,3980000000
