,area,bed,bath,location,price
0,69.0,3,2,Jakarta,1600000000
1,73.0,2,2,Jakarta,1700000000
2,60.0,4,4,Jakarta,1000000000
3,60.0,2,2,Jakarta,790000000
4,400.0,6,5,Jakarta,12000000000
5,74.0,3,3,Jakarta,1550000000
6,115.0,3,3,Jakarta,2520000000
7,108.0,4,3,Jakarta,2300000000
8,71.0,2,2,Jakarta,1037100000
9,103.0,3,4,Jakarta,1250000000
10,350.0,3,3,Jakarta,3000000000
11,208.0,5,5,Jakarta,3980000000
12,190.0,4,3,Jakarta,3000000000
13,350.0,4,6,Jakarta,14000000000
14,60.0,3,2,Jakarta,700000000
15,168.0,4,3,Jakarta,5900000000
16,326.0,5,6,Jakarta,3900000000
17,95.0,4,2,Jakarta,1350000000
18,300.0,9,5,Jakarta,4000000000
19,79.0,3,2,Jakarta,2350000000
20,300.0,8,4,Jakarta,4000000000
21,800.0,5,4,Jakarta,20000000000
22,800.0,5,4,Jakarta,20000000000
23,800.0,5,4,Jakarta,20000000000
24,800.0,5,4,Jakarta,20000000
25,800.0,5,4,Jakarta,20000000000
26,300.0,5,6,Jakarta,4000000000
27,300.0,9,5,Jakarta,4000000000
28,300.0,9,5,Jakarta,4000000000
29,600.0,6,5,Jakarta,19000000000
30,262.0,6,5,Jakarta,6000000000
31,160.0,2,3,Jakarta,1920000000
32,180.0,5,4,Jakarta,4400000000
33,450.0,4,4,Jakarta,15500000000
34,700.0,5,5,Jakarta,18000000000
35,200.0,4,3,Jakarta,12000000000
36,670.0,7,7,Jakarta,9500000000
37,350.0,4,3,Jakarta,8500000000
38,1000.0,5,4,Jakarta,1100000000
39,240.0,3,3,Jakarta,5400000000
40,60.0,3,2,Jakarta,675000000
41,60.0,3,2,Jakarta,590000000
42,145.0,3,3,Jakarta,3415475000
43,65.0,3,2,Jakarta,950000000
44,90.0,2,2,Jakarta,1080000000
45,45.0,2,1,Jakarta,810000000
46,1250.0,5,4,Jakarta,44350000000
47,270.0,4,4,Jakarta,5700000000
48,220.0,5,3,Jakarta,2750000000
49,33.0,2,1,Jakarta,500000000
50,150.0,4,3,Jakarta,3500000000
51,198.0,4,4,Jakarta,5500000000
52,202.0,3,3,Jakarta,2300000000
53,105.0,3,2,Jakarta,1980000000
54,175.0,4,4,Jakarta,2500000000
55,132.0,3,3,Jakarta,2100000000
56,42.0,2,1,Jakarta,892440212
57,136.0,3,3,Jakarta,2450000000
58,110.0,3,4,Jakarta,2632500000
59,115.0,3,3,Jakarta,2520000000
60,115.0,3,3,Jakarta,2520000000
61,115.0,3,3,Jakarta,2520000000
62,144.0,5,3,Jakarta,3739590000
63,79.0,3,2,Jakarta,2400000000
64,110.0,3,4,Jakarta,2632500000
65,150.0,4,4,Jakarta,2999000000
66,90.0,3,2,Jakarta,870000000
67,350.0,4,3,Jakarta,2600000000
68,120.0,3,2,Jakarta,2340000000
69,156.0,3,3,Jakarta,2300000000
70,156.0,3,3,Jakarta,2600000000
71,197.0,4,3,Jakarta,4000000000
72,94.0,3,2,Jakarta,2000000000
73,75.0,3,2,Jakarta,1600000000
74,146.0,4,4,Jakarta,3300000000
75,100.0,3,2,Jakarta,1649000000
76,240.0,4,3,Jakarta,4500000000
77,800.0,5,5,Jakarta,17800000000
78,140.0,3,2,Jakarta,1020000000
79,120.0,3,2,Jakarta,2340000000
80,60.0,2,1,Jakarta,570000000
81,120.0,3,2,Jakarta,2340000000
82,160.0,2,3,Jakarta,1920000000
83,42.0,2,2,Jakarta,444000000
84,42.0,2,2,Jakarta,562000000
85,160.0,3,3,Jakarta,2550000000
86,400.0,4,3,Jakarta,9950000000
87,450.0,10,6,Jakarta,18000000000
88,250.0,4,3,Jakarta,5950000000
89,45.0,2,1,Jakarta,350000000
90,500.0,4,4,Jakarta,8500000000
91,36.0,2,1,Jakarta,410000000
92,345.0,4,3,Jakarta,5800000000
93,60.0,2,2,Jakarta,1700000000
94,67.0,2,2,Jakarta,1550000000
