km-tidur,km-mandi,garasi,bangunan,tanah,lokasi,harga
22,22,1,218,92,Jakarta,2700000000
20,14,0,231,92,Jakarta,2700000000
20,14,7,1100,746,Jakarta,35000000000
20,14,2,350,300,Jakarta,8500000000
18,6,1,450,300,Jakarta,16500000000
15,6,1,250,200,Jakarta,6600000000
15,2,2,650,390,Jakarta,18800000000
14,4,0,280,120,Jakarta,6000000000
13,5,0,200,75,Jakarta,3650000000
13,17,2,127,225,Jakarta,2750000000
12,13,2,297,200,Jakarta,8500000000
12,11,0,50,44,Jakarta,1150000000
12,7,0,55,43,Jakarta,1150000000
12,12,0,113,84,Jakarta,2500000000
12,3,1,250,176,Jakarta,5400000000
12,4,1,140,110,Jakarta,2640000000
11,10,6,526,652,Jakarta,14900000000
10,11,0,270,255,Jakarta,5700000000
10,10,0,170,64,Jakarta,2200000000
10,8,2,430,360,Jakarta,17000000000
10,5,0,68,33,Jakarta,11843707482
10,5,2,160,120,Jakarta,3350000000
10,6,1,130,138,Jakarta,3500000000
10,10,1,300,160,Jakarta,5000000000
9,3,0,40,22,Jakarta,11843707482
9,8,0,42,22,Jakarta,11843707482
9,9,0,180,135,Jakarta,3800000000
9,9,2,550,360,Jakarta,12500000000
9,5,1,208,86,Jakarta,3980000000
9,3,1,163,120,Jakarta,4500000000
9,7,0,120,60,Jakarta,1490000000
9,5,0,207,86,Jakarta,3980000000
9,8,2,150,90,Jakarta,2300000000
8,5,2,216,180,Jakarta,4500000000
8,8,2,280,180,Jakarta,7200000000
8,7,1,56,30,Jakarta,11843707482
8,8,0,672,640,Jakarta,15400000000
8,8,10,600,1000,Jakarta,19900000000
8,7,1,170,170,Jakarta,3000000000
8,5,2,84,84,Jakarta,2350000000
8,3,2,200,144,Jakarta,4000000000
8,9,0,392,380,Jakarta,6990000000
8,3,2,115,180,Jakarta,2520000000
8,9,0,2361,1000,Jakarta,22500000000
8,4,0,300,160,Jakarta,5500000000
8,9,0,784,785,Jakarta,25000000000
8,3,0,238,314,Jakarta,21000000000
8,7,1,150,56,Jakarta,1300000000
8,7,0,120,100,Jakarta,3100000000
8,5,1,60,54,Jakarta,11843707482
8,7,2,202,67,Jakarta,5500000000
8,5,0,350,120,Jakarta,6000000000
7,4,0,450,176,Jakarta,7800000000
7,3,0,290,142,Jakarta,4750000000
7,8,4,270,220,Jakarta,4750000000
7,7,4,1030,700,Jakarta,21000000000
7,5,1,63,39,Jakarta,11843707482
7,4,1,69,35,Jakarta,1080000000
7,6,1,122,55,Jakarta,2300000000
