km-tidur,km-mandi,garasi,bangunan,tanah,lokasi,umr,jlh-pdk,harga
22,22,1,218,92,Jakarta,4641854,11249585,2700000000
20,14,0,231,92,Jakarta,4641855,11249586,2700000000
20,14,7,1100,746,Jakarta,4641856,11249587,35000000000
20,14,2,350,300,Jakarta,4641857,11249588,8500000000
18,6,1,450,300,Jakarta,4641858,11249589,16500000000
15,6,1,250,200,Jakarta,4641859,11249590,6600000000
15,2,2,650,390,Jakarta,4641860,11249591,18800000000
14,4,0,280,120,Jakarta,4641861,11249592,6000000000
13,5,0,200,75,Jakarta,4641862,11249593,3650000000
13,17,2,127,225,Jakarta,4641863,11249594,2750000000
12,13,2,297,200,Jakarta,4641864,11249595,8500000000
12,11,0,50,44,Jakarta,4641865,11249596,1150000000
12,7,0,55,43,Jakarta,4641866,11249597,1150000000
12,12,0,113,84,Jakarta,4641867,11249598,2500000000
12,3,1,250,176,Jakarta,4641868,11249599,5400000000
12,4,1,140,110,Jakarta,4641869,11249600,2640000000
11,10,6,526,652,Jakarta,4641870,11249601,14900000000
10,11,0,270,255,Jakarta,4641871,11249602,5700000000
10,10,0,170,64,Jakarta,4641872,11249603,2200000000
10,8,2,430,360,Jakarta,4641873,11249604,17000000000
10,5,0,68,33,Jakarta,4641874,11249605,11843707482
10,5,2,160,120,Jakarta,4641875,11249606,3350000000
10,6,1,130,138,Jakarta,4641876,11249607,3500000000
10,10,1,300,160,Jakarta,4641877,11249608,5000000000
9,3,0,40,22,Jakarta,4641878,11249609,11843707482
9,8,0,42,22,Jakarta,4641879,11249610,11843707482
9,9,0,180,135,Jakarta,4641880,11249611,3800000000
9,9,2,550,360,Jakarta,4641881,11249612,12500000000
9,5,1,208,86,Jakarta,4641882,11249613,3980000000
9,3,1,163,120,Jakarta,4641883,11249614,4500000000
9,7,0,120,60,Jakarta,4641884,11249615,1490000000
9,5,0,207,86,Jakarta,4641885,11249616,3980000000
9,8,2,150,90,Jakarta,4641886,11249617,2300000000
8,5,2,216,180,Jakarta,4641887,11249618,4500000000
8,8,2,280,180,Jakarta,4641888,11249619,7200000000
8,7,1,56,30,Jakarta,4641889,11249620,11843707482
8,8,0,672,640,Jakarta,4641890,11249621,15400000000
8,8,10,600,1000,Jakarta,4641891,11249622,19900000000
8,7,1,170,170,Jakarta,4641892,11249623,3000000000
8,5,2,84,84,Jakarta,4641893,11249624,2350000000
8,3,2,200,144,Jakarta,4641894,11249625,4000000000
8,9,0,392,380,Jakarta,4641895,11249626,6990000000
8,3,2,115,180,Jakarta,4641896,11249627,2520000000
8,9,0,2361,1000,Jakarta,4641897,11249628,22500000000
8,4,0,300,160,Jakarta,4641898,11249629,5500000000
8,9,0,784,785,Jakarta,4641899,11249630,25000000000
8,3,0,238,314,Jakarta,4641900,11249631,21000000000
8,7,1,150,56,Jakarta,4641901,11249632,1300000000
8,7,0,120,100,Jakarta,4641902,11249633,3100000000
8,5,1,60,54,Jakarta,4641903,11249634,11843707482
8,7,2,202,67,Jakarta,4641904,11249635,5500000000
8,5,0,350,120,Jakarta,4641905,11249636,6000000000
7,4,0,450,176,Jakarta,4641906,11249637,7800000000
7,3,0,290,142,Jakarta,4641907,11249638,4750000000
7,8,4,270,220,Jakarta,4641908,11249639,4750000000
7,7,4,1030,700,Jakarta,4641909,11249640,21000000000
7,5,1,63,39,Jakarta,4641910,11249641,11843707482
7,4,1,69,35,Jakarta,4641911,11249642,1080000000
7,6,1,122,55,Jakarta,4641912,11249643,2300000000
7,5,1,71,40,Jakarta,4641913,11249644,1500000000
7,7,1,67,34,Jakarta,4641914,11249645,11843707482
7,7,2,200,94,Jakarta,4641915,11249646,3450000000
7,7,0,42,27,Jakarta,4641916,11249647,11843707482
7,3,0,400,258,Jakarta,4641917,11249648,6500000000
7,5,0,189,84,Jakarta,4641918,11249649,1850000000
7,7,0,131,55,Jakarta,4641919,11249650,2300000000
7,3,1,71,36,Jakarta,4641920,11249651,1140000000
7,3,0,65,69,Jakarta,4641921,11249652,11843707482
7,5,1,150,74,Jakarta,4641922,11249653,2500000000
7,4,0,60,71,Jakarta,4641923,11249654,1300000000
7,5,2,200,120,Jakarta,4641924,11249655,3390000000
7,4,1,280,150,Jakarta,4641925,11249656,4700000000
7,7,0,700,200,Jakarta,4641926,11249657,12500000000
7,6,0,600,325,Jakarta,4641927,11249658,17500000000
7,3,1,373,144,Jakarta,4641928,11249659,5900000000
7,6,1,350,195,Jakarta,4641929,11249660,5900000000
7,6,4,5000,2700,Jakarta,4641930,11249661,1.08E+11
7,6,2,98,80,Jakarta,4641931,11249662,2350000000
7,6,2,1000,520,Jakarta,4641932,11249663,29000000000
7,6,1,158,66,Jakarta,4641933,11249664,2100000000
7,6,0,117,60,Jakarta,4641934,11249665,1900000000
7,6,1,120,77,Jakarta,4641935,11249666,1250000000
7,6,2,300,165,Jakarta,4641936,11249667,5500000000
7,6,2,240,126,Jakarta,4641937,11249668,2500000000
7,4,0,220,139,Jakarta,4641938,11249669,2200000000
7,3,2,240,139,Jakarta,4641939,11249670,3700000000
7,3,0,270,140,Jakarta,4641940,11249671,4500000000
7,9,1,241,216,Jakarta,4641941,11249672,3200000000
7,5,2,400,231,Jakarta,4641942,11249673,9850000000
7,3,1,160,108,Jakarta,4641943,11249674,1850000000
7,3,0,250,171,Jakarta,4641944,11249675,2700000000
7,5,2,170,101,Jakarta,4641945,11249676,2500000000
7,5,0,40,22,Jakarta,4641946,11249677,11843707482
7,7,4,350,597,Jakarta,4641947,11249678,32000000000
7,7,2,224,180,Jakarta,4641948,11249679,6750000000
7,5,8,500,510,Jakarta,4641949,11249680,14500000000
7,5,1,250,144,Jakarta,4641950,11249681,4790000000
7,5,0,100,90,Jakarta,4641951,11249682,1790000000
7,2,1,106,60,Jakarta,4641952,11249683,1800000000
6,4,1,310,104,Jakarta,4641953,11249684,2990000000
6,5,0,195,120,Jakarta,4641954,11249685,3000000000
6,4,0,150,75,Jakarta,4641955,11249686,2600000000
6,4,0,120,55,Jakarta,4641956,11249687,2300000000
